                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 1.8005,                 1.9916,                 1.1128,                0.62978,                0.38177,                0.35073,                0.18534,                 1.3959,                 1.3961,                 1.0085,               0.070231,              0.0033077,              0.0033077
                      1,                 1.7155,                 1.3095,                 1.0259,                0.65257,                0.47888,                0.43768,                0.22112,                 1.5102,                 1.3327,                 1.0271,               0.040204,              0.0066147,              0.0066147
                      2,                 1.7545,                 1.2985,                  1.041,                0.66983,                0.48213,                0.47205,                0.24402,                 1.4435,                 1.2463,                 1.0282,               0.010152,              0.0098954,              0.0098954
                      3,                 1.7296,                 1.1701,                  1.046,                0.66385,                0.47516,                0.48168,                0.24442,                 1.5073,                 1.2253,                 1.0482,              0.0098812,              0.0098812,              0.0098812
                      4,                 1.6599,                 1.0488,                 1.0188,                 0.5441,                0.53704,                  0.538,                 0.2917,                 1.3801,                 1.1332,                 1.0132,              0.0098812,              0.0098812,              0.0098812
                      5,                 1.6241,                0.97808,                 1.0106,                0.76267,                0.52892,                0.56045,                 0.2933,                 1.4154,                 1.0774,                 1.0135,              0.0098416,              0.0098416,              0.0098416
                      6,                 1.5856,                0.91532,                 1.0008,                0.65044,                0.57324,                0.56069,                0.29903,                 1.3411,                 1.1313,                 1.0109,               0.009802,               0.009802,               0.009802
                      7,                   1.55,                0.89143,                 0.9926,                0.68265,                0.55644,                 0.5682,                0.30219,                 1.3528,                 1.1568,                 1.0139,              0.0097624,              0.0097624,              0.0097624
                      8,                 1.5339,                0.87114,                0.99377,                0.60213,                0.56994,                0.56645,                0.30948,                 1.3328,                 1.0646,                 1.0045,              0.0097228,              0.0097228,              0.0097228
                      9,                 1.5126,                 0.8404,                0.98848,                0.58852,                0.61156,                0.58367,                0.31873,                 1.3453,                 1.0953,                 1.0095,              0.0096832,              0.0096832,              0.0096832
                     10,                 1.4914,                0.81716,                0.98054,                0.60696,                  0.603,                0.59043,                0.32928,                 1.3414,                 1.0742,                 1.0085,              0.0096436,              0.0096436,              0.0096436
                     11,                 1.4849,                0.80547,                0.97642,                0.60766,                0.58615,                0.58569,                0.32586,                 1.3358,                 1.0588,                 1.0149,               0.009604,               0.009604,               0.009604
                     12,                 1.4771,                0.78687,                0.97466,                0.68257,                0.60849,                0.61315,                0.33156,                 1.3956,                 1.1314,                 1.0199,              0.0095644,              0.0095644,              0.0095644
                     13,                 1.4513,                0.77472,                0.96673,                0.63007,                0.61804,                0.62028,                0.33006,                 1.3595,                 1.0983,                 1.0076,              0.0095248,              0.0095248,              0.0095248
                     14,                 1.4394,                0.76774,                0.96894,                0.59877,                0.61562,                0.58746,                0.32673,                 1.3434,                 1.1524,                 1.0191,              0.0094852,              0.0094852,              0.0094852
                     15,                 1.4325,                0.74988,                0.96933,                0.63325,                0.62665,                0.61501,                 0.3341,                 1.4247,                 1.1262,                 1.0335,              0.0094456,              0.0094456,              0.0094456
